name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
Police Canteen Malappuram,"7Q5J+F5V, road, Mavoor Road Junction, Tazhekkod, Kozhikode, Malappuram, Kerala 673001",,"https://www.google.com/maps/place/Police+Canteen+Malappuram/@11.2587351,75.492018,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba6590c116f10c5:0x9f37e0d8a8b0a703!8m2!3d11.2587351!4d75.7804091!15sChJjYW50ZWVuIG1hbGFwcHVyYW2SAQ1ncm9jZXJ5X3N0b3JlqgE7EAEyHxABIhtWpIKmWkD2EcBXdGDWz6IFLQ5aji7GjcrduWMyFhACIhJjYW50ZWVuIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11grc6x9h7?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.2587351, 75.492018",Claim this business,Grocery store,Large_Scale_Buyers,5.0,1.0,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,canteen malappuram,2025-08-10 06:30:09
MBH Hospital Canteen,"519, NH213, Varangode, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/MBH+Hospital+Canteen/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba64a839fdb21e3:0x2b5a9a33789e6c3d!8m2!3d11.0544105!4d76.0813386!15sChJjYW50ZWVuIG1hbGFwcHVyYW1aFCISY2FudGVlbiBtYWxhcHB1cmFtkgEJY2FmZXRlcmlhqgE7EAEyHxABIhtWpIKmWkD2EcBXdGDWz6IFLQ5aji7GjcrduWMyFhACIhJjYW50ZWVuIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11cmtt380q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",Claim this business,Cafeteria,Large_Scale_Buyers,3.7,494.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,1.0,Not Available,,,canteen malappuram,2025-08-10 06:30:14
CSD Canteen Malappuram,"23RP+Q9F, Up Hill, Malappuram, Kerala 676505",0483 273 0499,"https://www.google.com/maps/place/CSD+Canteen+Malappuram/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba6358920e87877:0xb198673a00a18233!8m2!3d11.0419496!4d76.0859135!15sChJjYW50ZWVuIG1hbGFwcHVyYW1aFCISY2FudGVlbiBtYWxhcHB1cmFtkgENZ3JvY2VyeV9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VNMWNDMUxPVVZSRUFFqgE7EAEyHxABIhtWpIKmWkD2EcBXdGDWz6IFLQ5aji7GjcrduWMyFhACIhJjYW50ZWVuIG1hbGFwcHVyYW3gAQD6AQQIABA3!16s%2Fg%2F11h05dttk9?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",Claim this business,Grocery store,Large_Scale_Buyers,3.6,105.0,₹₹,Opens 8am Mon,⋅ Opens 8am Mon,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,canteen malappuram,2025-08-10 06:30:19
SUBSIDIARY KENDRIYA POLICE KALYAN BHANDAR,"Kozhikode - Palakkad Highway, Up Hill, Malappuram, Kerala 676505",085478 71496,"https://www.google.com/maps/place/SUBSIDIARY+KENDRIYA+POLICE+KALYAN+BHANDAR/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba6355e6a23cac7:0x78646777a1903bbd!8m2!3d11.0389961!4d76.0899995!15sChJjYW50ZWVuIG1hbGFwcHVyYW1aFCISY2FudGVlbiBtYWxhcHB1cmFtkgEQZGVwYXJ0bWVudF9zdG9yZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTGN6aFVSMlozRUFFqgE7EAEyHxABIhtWpIKmWkD2EcBXdGDWz6IFLQ5aji7GjcrduWMyFhACIhJjYW50ZWVuIG1hbGFwcHVyYW3gAQD6AQQIABA6!16s%2Fg%2F12hrflcdl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",,Department store,Large_Scale_Buyers,4.3,489.0,₹₹,Opens 11am,⋅ Opens 11am,No,No,No,No,No,No,Unknown,Yes,None Found,,,1.0,Not Available,,,canteen malappuram,2025-08-10 06:30:23
Ma'din Main Canteen,"33VM+5GH, Kolai, Malappuram, Kerala 676517",,"https://www.google.com/maps/place/Ma'din+Main+Canteen/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba64b9e4d68402d:0xc57eb58bd8920166!8m2!3d11.0929262!4d76.0838531!15sChJjYW50ZWVuIG1hbGFwcHVyYW1aFCISY2FudGVlbiBtYWxhcHB1cmFtkgEJY2FmZXRlcmlhqgE7EAEyHxABIhtWpIKmWkD2EcBXdGDWz6IFLQ5aji7GjcrduWMyFhACIhJjYW50ZWVuIG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11kpl9wh9q?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",Claim this business,Cafeteria,Large_Scale_Buyers,4.8,4.0,₹₹,Closes 9pm,⋅ Closes 9pm,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,canteen malappuram,2025-08-10 06:30:28
ORCHID HOSPITAL CANTEEN,"3329+MQ3, Kizhakkethala, Down Hill, Malappuram, Kerala 676519",,"https://www.google.com/maps/place/ORCHID+HOSPITAL+CANTEEN/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba64bab083860f7:0xd0c594682a9038b4!8m2!3d11.0516488!4d76.0694342!15sChJjYW50ZWVuIG1hbGFwcHVyYW1aFCISY2FudGVlbiBtYWxhcHB1cmFtkgELY29mZmVlX3Nob3CqATsQATIfEAEiG1akgqZaQPYRwFd0YNbPogUtDlqOLsaNyt25YzIWEAIiEmNhbnRlZW4gbWFsYXBwdXJhbeABAA!16s%2Fg%2F11mw5rzf36?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",Claim this business,Coffee shop,Large_Scale_Buyers,3.6,15.0,₹₹,,,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
",dine-in; drive-through,,1.0,Not Available,,,canteen malappuram,2025-08-10 06:30:33
Subsidiary Central Police Canteen,"Civil Station, Palakkad - Kozhikode Hwy, Up Hill, Malappuram, Kerala 676505",,"https://www.google.com/maps/place/Subsidiary+Central+Police+Canteen/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba6355e69dca8df:0xed29c950309edd76!8m2!3d11.039004!4d76.0900011!15sChJjYW50ZWVuIG1hbGFwcHVyYW2SAQtoeXBlcm1hcmtldKoBOxABMh8QASIbVqSCplpA9hHAV3Rg1s-iBS0OWo4uxo3K3bljMhYQAiISY2FudGVlbiBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11xrlzzvht?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",Claim this business,Hypermarket,Large_Scale_Buyers,5.0,,₹₹,,,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,canteen malappuram,2025-08-10 06:30:38
Collectorate Canteen,"23QH+V5P, Up Hill, Malappuram, Kerala 676505",0483 273 9944,"https://www.google.com/maps/place/Collectorate+Canteen/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba64aa26e9703e3:0xe27576562301775f!8m2!3d11.0397049!4d76.0779503!15sChJjYW50ZWVuIG1hbGFwcHVyYW1aFCISY2FudGVlbiBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBOxABMh8QASIbVqSCplpA9hHAV3Rg1s-iBS0OWo4uxo3K3bljMhYQAiISY2FudGVlbiBtYWxhcHB1cmFt4AEA!16s%2Fg%2F1vvr4p1k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",Claim this business,Restaurant,Large_Scale_Buyers,3.6,20.0,₹₹,Opens 8am Mon,⋅ Opens 8am Mon,No,Yes,No,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
",dine-in; takeaway,,,Not Available,,,canteen malappuram,2025-08-10 06:30:42
Ex Serviceman Canteen,"23RP+P8M, Jubilee Road, Up Hill, Malappuram, Kerala 676505",0483 273 0499,"https://www.google.com/maps/place/Ex+Serviceman+Canteen/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba64a9fe1db7e0f:0x7f848a3f10ec430!8m2!3d11.0418287!4d76.0858009!15sChJjYW50ZWVuIG1hbGFwcHVyYW2SAQVzdG9yZaoBOxABMh8QASIbVqSCplpA9hHAV3Rg1s-iBS0OWo4uxo3K3bljMhYQAiISY2FudGVlbiBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11ck17vs2x?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",dcots.in,Store,Large_Scale_Buyers,4.1,27.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,No,No,No,Unknown,Yes,None Found,,,,Not Available,,,canteen malappuram,2025-08-10 06:30:47
Kudumbasree canteen,"23VG+JJR, Down Hill, Malappuram, Kerala 676505",,"https://www.google.com/maps/place/Kudumbasree+canteen/@11.0544105,75.7929475,11z/data=!4m10!1m2!2m1!1scanteen+malappuram!3m6!1s0x3ba64b9bb3a21227:0xdf99ef7a1a861831!8m2!3d11.0441004!4d76.0765276!15sChJjYW50ZWVuIG1hbGFwcHVyYW1aFCISY2FudGVlbiBtYWxhcHB1cmFtkgEKcmVzdGF1cmFudKoBOxABMh8QASIbVqSCplpA9hHAV3Rg1s-iBS0OWo4uxo3K3bljMhYQAiISY2FudGVlbiBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11fhynb4bz?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",canteen+malappuram,"11.0544105, 75.7929475",Claim this business,Restaurant,Large_Scale_Buyers,3.9,11.0,₹₹,Opens 8am,⋅ Opens 8am,No,No,No,Yes,No,No,Unknown,Yes,"·

Dine-in
",dine-in,,,Not Available,,,canteen malappuram,2025-08-10 06:30:52
