name,address,phone_number,google_maps_url,place_id,coordinates,website,place_type,category,reviews_average,reviews_count,price_range,opens_at,full_hours,store_shopping,in_store_pickup,store_delivery,dine_in,takeaway,reservations,wheelchair_accessible,verified_business,introduction,services_offered,amenities,photos_count,popular_times,years_in_business,owner_info,search_keyword,scraped_at
"Sweedish Cakes,Cafe & Restaurant","Kavungal - Munduparamba Bypass Rd, Kavungal, Up Hill, Malappuram, Kerala 676505",095396 03595,"https://www.google.com/maps/place/Sweedish+Cakes,Cafe+%26+Restaurant/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba63544abcf72ad:0x8a624dce5e8fc8ab!8m2!3d11.0360005!4d76.0975283!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBCnJlc3RhdXJhbnSqAVIKCi9tLzAyd3Y2dGgQASoKIgZiYWtlcnkoADIfEAEiG6J5IbqwqNGYOf9MaNqv7EEZ6G1eWbgrsXdgJTIVEAIiEWJha2VyeSBtYWxhcHB1cmFt4AEA!16s%2Fg%2F11bz0ygm7_?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",,Restaurant,Food_Businesses,4.1,2273.0,₹₹,Closes 11pm,⋅ Closes 11pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:27:52
KR bakes,"16/713A, 16, 714 Midland, KUNNUMMAL,16/711A, 16/712A, Manjeri Road, near Passport Office, Malappuram, Kerala 676505",092880 19690,"https://www.google.com/maps/place/KR+bakes/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba64be125129471:0x53713d31e221fe7f!8m2!3d11.0433921!4d76.0842856!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBCnJlc3RhdXJhbnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmZlVm95Y0VkQkVBRaoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQD6AQQIDBBE!16s%2Fg%2F11s220txc6?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",krbakes.com,Restaurant,Food_Businesses,4.6,2096.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

No-contact delivery
",drive-through; no-contact delivery; dine-in,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:27:57
Famous Bakery,"Down Hill, Malappuram, Kerala 676519",0483 273 8609,"https://www.google.com/maps/place/Famous+Bakery/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba64a90a2796bfd:0xb069786097ba439c!8m2!3d11.0469018!4d76.073522!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBBmJha2VyeaoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11cp5s8lth?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",,Bakery and Cake Shop,Food_Businesses,3.9,73.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:28:02
The Tasty Bakes,"27, priyadarshini college road, Melmuri, Malappuram, Kerala 676517",,"https://www.google.com/maps/place/The+Tasty+Bakes/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba64beb3e7aaded:0x99287c498197ab5b!8m2!3d11.0816537!4d76.0688817!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBCWNha2Vfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSdE1XOU1XSEZSUlJBQqoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQD6AQQIABA5!16s%2Fg%2F11rp27p9_4?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",,Cake shop,Food_Businesses,4.9,110.0,₹₹,Open 24 hours,Open 24 hours,No,No,Yes,No,No,No,Unknown,Yes,"·

No-contact delivery
",no-contact delivery,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:28:07
Six Star Bakery,"SH 71, Up Hill, Malappuram, Kerala 676505",098463 19607,"https://www.google.com/maps/place/Six+Star+Bakery/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba64a9f190df113:0xfee546ce0d13590!8m2!3d11.0427181!4d76.0812394!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBBmJha2VyeaoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F1hm476jvp?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",,Bakery and Cake Shop,Food_Businesses,4.5,33.0,₹₹,Closes 9:30pm,⋅ Closes 9:30pm,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

Delivery
",delivery; takeaway,,,Not Available,,,bakery malappuram,2025-08-09 20:28:12
APM Bakes & Cake House,"Skylark Arcade, opposite Civil Station, Up Hill, Malappuram, Kerala 676505",098095 55547,"https://www.google.com/maps/place/APM+Bakes+%26+Cake+House/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba64bcf7d157fcf:0x359f34af0a7dd93e!8m2!3d11.041845!4d76.078259!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBBmJha2VyeaoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11vc5j8wvn?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",,Bakery and Cake Shop,Food_Businesses,4.3,45.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:28:17
INDIAN BAKES & CAFE,"Indian Bakes, 18/374, Main Road, Kavungal, Up Hill, Koottilangadi, Malappuram, Kerala 673004",077366 23456,"https://www.google.com/maps/place/INDIAN+BAKES+%26+CAFE/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba635488042dea9:0xaf6678ba253475c6!8m2!3d11.0331752!4d76.1002078!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBBmJha2VyeaoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11f2wbs4vl?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",Claim this business,Bakery and Cake Shop,Food_Businesses,3.9,318.0,₹₹,Closes 11:30pm,⋅ Closes 11:30pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery; dine-in,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:28:22
KR BAKERY,"Stadium Building, Down Hill, Malappuram, Kerala 676519",0483 273 8583,"https://www.google.com/maps/place/KR+BAKERY/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba64a90bd96392b:0xca67b9fe1033df7b!8m2!3d11.0468231!4d76.0730562!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBBmJha2VyeaoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11c2pl752j?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",krbakes.com,Bakery and Cake Shop,Food_Businesses,3.8,103.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,Yes,Yes,No,Unknown,Yes,"·

Dine-in
·

Takeaway
·

Delivery
",delivery; takeaway; dine-in,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:28:27
BAKING HUT,"C/O HYPER BUDGET SUPER MARKET, Kerala 676519",079947 45077,"https://www.google.com/maps/place/BAKING+HUT/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba64bbe9e8cedef:0xc253347d32a8b947!8m2!3d11.0551652!4d76.0820734!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBCWNha2Vfc2hvcKoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11j86skp7k?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",,Cake shop,Food_Businesses,4.2,61.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,Yes,Yes,No,Yes,No,Unknown,Yes,"·

Takeaway
·

No-contact delivery
",takeaway; no-contact delivery,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:28:32
Nila Bake House,"Tirur - Malappuram - Manjeri Rd, Down Hill, Malappuram, Kerala 676519",099475 02262,"https://www.google.com/maps/place/Nila+Bake+House/@11.0279828,76.0190872,13z/data=!4m11!1m3!2m2!1sbakery+malappuram!6e5!3m6!1s0x3ba64a972257dd31:0x326a4176b2d5de70!8m2!3d11.0440933!4d76.0717935!15sChFiYWtlcnkgbWFsYXBwdXJhbVoTIhFiYWtlcnkgbWFsYXBwdXJhbZIBBmJha2VyeaoBUgoKL20vMDJ3djZ0aBABKgoiBmJha2VyeSgAMh8QASIbonkhurCo0Zg5_0xo2q_sQRnobV5ZuCuxd2AlMhUQAiIRYmFrZXJ5IG1hbGFwcHVyYW3gAQA!16s%2Fg%2F11fx9kf3_1?entry=ttu&g_ep=EgoyMDI1MDgwNi4wIKXMDSoASAFQAw%3D%3D",bakery+malappuram,"11.0279828, 76.0190872",,Bakery and Cake Shop,Food_Businesses,3.9,165.0,₹₹,Closes 10pm,⋅ Closes 10pm,No,No,Yes,Yes,No,No,Unknown,Yes,"·

Dine-in
·

Drive-through
·

Delivery
",drive-through; delivery; dine-in,,1.0,Not Available,,,bakery malappuram,2025-08-09 20:28:37
